,title,conference,year,paper_url
42,Abstractions of Queries in Ontology-Based Data Access,kr,2025,https://proceedings.kr.org/2025/43/kr2025-0043-leclere-et-al.pdf
43,An Epistemic Theory of Deductive Arguments,kr,2025,https://proceedings.kr.org/2025/44/kr2025-0044-lorini.pdf
44,Non-deterministic Action Reversibility: Complexity Results,kr,2025,https://proceedings.kr.org/2025/45/kr2025-0045-med-et-al.pdf
45,Solving Unification in the Description Logic FL_bottom,kr,2025,https://proceedings.kr.org/2025/46/kr2025-0046-morawska-et-al.pdf
46,Logical Expressivity and Explanations for Monotonic GNNs with Scoring Functions,kr,2025,https://proceedings.kr.org/2025/47/kr2025-0047-morris-et-al.pdf
47,Faithful Differentiable Reasoning with Reshuffled Region-based Embeddings,kr,2025,https://proceedings.kr.org/2025/48/kr2025-0048-pavlovic-et-al.pdf
48,A Methodology for Incompleteness-Tolerant and Modular Gradual Semantics for Argumentative Statement Graphs,kr,2025,https://proceedings.kr.org/2025/49/kr2025-0049-rago-et-al.pdf
49,On Gradual Semantics for Assumption-Based Argumentation,kr,2025,https://proceedings.kr.org/2025/50/kr2025-0050-rapberger-et-al.pdf
50,On the Complexity and Properties of Preferential Propositional Dependence Logic,kr,2025,https://proceedings.kr.org/2025/51/kr2025-0051-sauerwald-et-al.pdf
51,Context-Based Belief Revision,kr,2025,https://proceedings.kr.org/2025/52/kr2025-0052-schwind.pdf
52,Efficient Volume Computation for SMT Formulas,kr,2025,https://proceedings.kr.org/2025/53/kr2025-0053-shaw-et-al.pdf
53,A Principle-based Framework for Analyzing Dialogue Game-based Semantics,kr,2025,https://proceedings.kr.org/2025/54/kr2025-0054-soto-et-al.pdf
54,Pushdown Reward Machines for Reinforcement Learning,kr,2025,https://proceedings.kr.org/2025/55/kr2025-0055-varricchione-et-al.pdf
55,Exploring Desirable Configurations in Global Logistics with Heuristic Search in Answer Set Programming,kr,2025,https://proceedings.kr.org/2025/56/kr2025-0056-altay-kern-et-al.pdf
56,Model Checker for Recursive Aggregates,kr,2025,https://proceedings.kr.org/2025/57/kr2025-0057-alviano-et-al.pdf
57,Interactive Exploration of Plan Spaces,kr,2025,https://proceedings.kr.org/2025/58/kr2025-0058-gnad-et-al.pdf
58,Reasoning About Actual Causality in Answer Set Programming,kr,2025,https://proceedings.kr.org/2025/59/kr2025-0059-ozcan-et-al.pdf
59,Can LLMs Solve ASP Problems? Insights from a Benchmarking Study,kr,2025,https://proceedings.kr.org/2025/60/kr2025-0060-ren-et-al.pdf
60,ASP-Driven Visual Commonsense: A General Framework for Reasoning About Embodied Interaction in the Wild,kr,2025,https://proceedings.kr.org/2025/61/kr2025-0061-suchan-et-al.pdf
61,A Tensor-Based Probabilistic Event Calculus,kr,2025,https://proceedings.kr.org/2025/62/kr2025-0062-tsilionis-et-al.pdf
62,TRACE-CS: A Hybrid LogicâLLM System for Explainable Course Scheduling,kr,2025,https://proceedings.kr.org/2025/63/kr2025-0063-vasileiou-et-al.pdf
63,Advances in Logic-Based Entity Resolution: Enhancing ASPEN with Local Merges and Optimality Criteria,kr,2025,https://proceedings.kr.org/2025/64/kr2025-0064-xiang-et-al.pdf
64,An Embarrassingly Parallel Model Counter,kr,2025,https://proceedings.kr.org/2025/65/kr2025-0065-xu-et-al.pdf
65,Expressive Description Logics with Rich Yet Affordable Numeric Constraints,kr,2025,https://proceedings.kr.org/2025/66/kr2025-0066-di-stefano-et-al.pdf
66,Counterexample-Guided Abstraction Refinement for Assumption-based Argumentation,kr,2025,https://proceedings.kr.org/2025/67/kr2025-0067-lagniez-et-al.pdf
67,Reasoning in Assumption-Based Argumentation via SAT,kr,2025,https://proceedings.kr.org/2025/68/kr2025-0068-niskanen-et-al.pdf
68,LTL Synthesis Under Multi-Agent Environment Assumptions,kr,2025,https://proceedings.kr.org/2025/69/kr2025-0069-aminof-et-al.pdf
69,Depth-Bounded Epistemic Planning,kr,2025,https://proceedings.kr.org/2025/70/kr2025-0070-bolander-et-al.pdf
70,Learning General Policies from Examples,kr,2025,https://proceedings.kr.org/2025/71/kr2025-0071-bonet-et-al.pdf
71,Automated Planning with Ontologies Under Coherence Update Semantics,kr,2025,https://proceedings.kr.org/2025/72/kr2025-0072-borgwardt-et-al.pdf
72,Pushing the Envelope in Numeric Pattern Planning,kr,2025,https://proceedings.kr.org/2025/73/kr2025-0073-cardellini-et-al.pdf
73,Pruning with Belief Traps in Multi-agent Epistemic Planning,kr,2025,https://proceedings.kr.org/2025/74/kr2025-0074-fang-et-al.pdf
74,Cost-Optimal Delete-Free Classical Planning via Maximum Satisfiability,kr,2025,https://proceedings.kr.org/2025/75/kr2025-0075-feyzbakhsh-rankooh-et-al.pdf
75,Counterfactual Scenarios for Automated Planning,kr,2025,https://proceedings.kr.org/2025/76/kr2025-0076-gigante-et-al.pdf
76,Domain-Independent Instance Generation for Classical Planning,kr,2025,https://proceedings.kr.org/2025/77/kr2025-0077-grundke-et-al.pdf
77,Emerson-Lei and Manna-Pnueli Games for LTLf+ and PPLTL+ Synthesis,kr,2025,https://proceedings.kr.org/2025/78/kr2025-0078-hausmann-et-al.pdf
78,Representing Perfect Saturated Cost Partitioning Heuristics in Classical Planning,kr,2025,https://proceedings.kr.org/2025/79/kr2025-0079-hoft-et-al.pdf
79,Learning Lifted Action Models from Traces of Incomplete Actions and States,kr,2025,https://proceedings.kr.org/2025/80/kr2025-0080-jansen-et-al.pdf
80,Generalizing Platform-Aware Mission Planning for Infinite-State Timed Transition Systems,kr,2025,https://proceedings.kr.org/2025/81/kr2025-0081-panjkovic-et-al.pdf
81,A Planning Compilation to Reason About Goal Achievement at Planning Time,kr,2025,https://proceedings.kr.org/2025/82/kr2025-0082-pozanco-et-al.pdf
82,Explanations for Unrealizability of Infinite-State Safety Shields,kr,2025,https://proceedings.kr.org/2025/83/kr2025-0083-rodriguez-et-al.pdf
83,Probabilistic HTN Planning: Formalization and Computational Complexity Analysis,kr,2025,https://proceedings.kr.org/2025/84/kr2025-0084-yousefi-et-al.pdf
84,Probabilistic Active Goal Recognition,kr,2025,https://proceedings.kr.org/2025/85/kr2025-0085-zhang-et-al.pdf
