,title,conference,year,paper_url
0,ResMoE: Space-efficient Compression of Mixture of Experts LLMs via Residual Restoration,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709196
1,Hypergraph Motif Representation Learning,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709274
2,Chainlet Orbits: Topological Address Embedding for Blockchain,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709322
3,Correlation-Aware Graph Convolutional Networks for Multi-Label Node Classification,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709197
4,Fast and Effective GNN Training through Sequences of Random Path Graphs,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709301
5,How to use Graph Data in the Wild to Help Graph Anomaly Detection,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709320
6,Safe Online Bid Optimization with Return on Investment and Budget Constraints,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709288
7,Probabilistic Hypergraph Recurrent Neural Networks for Time-series Forecasting,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709202
8,NodeImport: Imbalanced Node Classification with Node Importance Assessment,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709215
9,Advancing Confidence Calibration and Quantification in Medication Recommendation,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709232
10,Locally Balancing Signed Graphs,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709342
11,Scalable Link Recommendation for Influence Maximization,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709190
12,Seeing the Unseen in Micro-Video Popularity Prediction: Self-Correlation Retrieval for Missing Modality Generation,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709308
13,Modeling Time-evolving Causality over Data Streams,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709283
14,CSPI-MT: Calibrated Safe Policy Improvement with Multiple Testing for Threshold Policies,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709176
15,Mixing Time Matters: Accelerating Effective Resistance Estimation via Bidirectional Method,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3690624.3709298
