,title,conference,year,paper_url
40,Quantum State and Unitary Learning Implies Circuit Lower Bounds,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chia25a/chia25a.pdf
41,Stochastic block models with many communities and the Kesten–Stigum bound - extended abstract,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chin25a/chin25a.pdf
42,Spherical Dimension,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chornomaz25a/chornomaz25a.pdf
43,Lower Bounds for Greedy Teaching Set Constructions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/compton25a/compton25a.pdf
44,Non-Euclidean High-Order Smooth Convex Optimization Extended Abstract,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/contreras25a/contreras25a.pdf
45,Low-dimensional Functions are Efficiently Learnable under Randomly Biased Distributions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/cornacchia25a/cornacchia25a.pdf
46,Non-Monetary Mechanism Design without Distributional Information: Using Scarce Audits Wisely (Extended Abstract),colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/dai25a/dai25a.pdf
47,Existence of Adversarial Examples for Random Convolutional Networks via  Isoperimetric Inequalities on $\mathbb{SO}(d)$,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/daniely25a/daniely25a.pdf
48,Rate-Preserving Reductions for Blackwell Approachability,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/dann25a/dann25a.pdf
49,Low-rank fine-tuning lies between lazy training and feature learning,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/dayi25a/dayi25a.pdf
50,Learning Intersections of Two Margin Halfspaces under Factorizable Distributions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/diakonikolas25a/diakonikolas25a.pdf
51,Faster Algorithms for Agnostically Learning Disjunctions and their Implications,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/diakonikolas25b/diakonikolas25b.pdf
52,A Proof of The Changepoint Detection Threshold Conjecture in Preferential Attachment Models,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/du25a/du25a.pdf
53,From Fairness to Infinity: Outcome-Indistinguishable (Omni)Prediction in Evolving Graphs,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/dwork25a/dwork25a.pdf
54,Logarithmic Width Suffices for Robust Memorization,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/egosi25a/egosi25a.pdf
55,Detecting Arbitrary Planted Subgraphs in Random Graphs,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/elimelech25a/elimelech25a.pdf
56,Universality of High-Dimensional Logistic Regression and a Novel CGMT under Dependence with Applications to Data Augmentation,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/esmaili-mallory25a/esmaili-mallory25a.pdf
57,Learning Augmented Graph $k$-Clustering,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/fan25a/fan25a.pdf
58,Trade-offs in Data Memorization via Strong Data Processing Inequalities,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/feldman25a/feldman25a.pdf
59,Approximating the total variation distance between spin systems,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/feng25a/feng25a.pdf
60,Is a Good Foundation Necessary for Efficient Reinforcement Learning? The Computational Role of the Base Model in Exploration,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/foster25a/foster25a.pdf
61,An uncertainty principle for Linear Recurrent Neural Networks,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/francois25a/francois25a.pdf
62,Complexity of Injectivity and Verification of ReLU Neural Networks (Extended Abstract),colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/froese25a/froese25a.pdf
63,"Bayes correlated equilibria, no-regret dynamics in Bayesian games, and the price of anarchy",colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/fujii25a/fujii25a.pdf
64,Gradient Methods with Online Scaling,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gao25a/gao25a.pdf
65,Computing High-dimensional Confidence Sets for Arbitrary Distributions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gao25b/gao25b.pdf
66,Blackwell’s Approachability with Approximation Algorithms,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/garber25a/garber25a.pdf
67,Faster Low-Rank Approximation and Kernel Ridge Regression via the Block-Nyström Method,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/garg25a/garg25a.pdf
68,Model predictive control is almost optimal for restless bandits,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gast25a/gast25a.pdf
69,Computing Optimal Regularizers for Online Linear Optimization,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gatmiry25a/gatmiry25a.pdf
70,Learning Mixtures of Gaussians Using Diffusion Models,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gatmiry25b/gatmiry25b.pdf
71,“All-Something-Nothing” Phase Transitions in Planted $k$-Factor Recovery (Extended Abstract),colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gaudio25a/gaudio25a.pdf
72,PREM: Privately Answering Statistical Queries with Relative Error,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/ghazi25a/ghazi25a.pdf
73,Mean-field analysis of polynomial-width two-layer neural network beyond finite time horizon,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/glasgow25a/glasgow25a.pdf
74,"Tight Bounds for Noisy Computation of High-Influence Functions, Connectivity, and Threshold",colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/gu25a/gu25a.pdf
75,Agnostic Learning of Arbitrary ReLU Activation under Gaussian Marginals,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/guo25a/guo25a.pdf
76,Alternating Regret for Online Convex Optimization,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/hait25a/hait25a.pdf
77,Data Selection for ERMs,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/hanneke25a/hanneke25a.pdf
78,Universal Rates of ERM for Agnostic Learning,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/hanneke25b/hanneke25b.pdf
79,Universal Rates for Multiclass Learning with Bandit Feedback,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/hanneke25c/hanneke25c.pdf
80,Compression Barriers in Autoregressive Transformers,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/haris25a/haris25a.pdf
81,On the query complexity of sampling from non-log-concave distributions (extended abstract),colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/he25a/he25a.pdf
82,Learning DNF through Generalized Fourier Representations,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/heidari25a/heidari25a.pdf
83,Noisy Group Testing in the Linear Regime: Exact Thresholds and Efficient ,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/hintze25a/hintze25a.pdf
