,title,paper_url,conference,year
44,Context Reasoner: Incentivizing Reasoning Capability for Contextualized Privacy and Safety Compliance via Reinforcement Learning,https://aclanthology.org/2025.emnlp-main.44.pdf,emnlp,2025
45,Towards General-Domain Word Sense Disambiguation: Distilling Large Language Model into Compact Disambiguator,https://aclanthology.org/2025.emnlp-main.45.pdf,emnlp,2025
46,SLoW: Select Low-frequency Words! Automatic Dictionary Selection for Translation on Large Language Models,https://aclanthology.org/2025.emnlp-main.46.pdf,emnlp,2025
47,Parallel Continuous Chain-of-Thought with Jacobi Iteration,https://aclanthology.org/2025.emnlp-main.47.pdf,emnlp,2025
48,EQA-RM: A Generative Embodied Reward Model with Test-time Scaling,https://aclanthology.org/2025.emnlp-main.48.pdf,emnlp,2025
49,Refusal-Aware Red Teaming: Exposing Inconsistency in Safety Evaluations,https://aclanthology.org/2025.emnlp-main.49.pdf,emnlp,2025
50,OmniThink: Expanding Knowledge Boundaries in Machine Writing through Thinking,https://aclanthology.org/2025.emnlp-main.50.pdf,emnlp,2025
51,LinkAlign: Scalable Schema Linking for Real-World Large-Scale Multi-Database Text-to-SQL,https://aclanthology.org/2025.emnlp-main.51.pdf,emnlp,2025
52,On Relation-Specific Neurons in Large Language Models,https://aclanthology.org/2025.emnlp-main.52.pdf,emnlp,2025
53,IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents,https://aclanthology.org/2025.emnlp-main.53.pdf,emnlp,2025
54,ProtoVQA: An Adaptable Prototypical Framework for Explainable Fine-Grained Visual Question Answering,https://aclanthology.org/2025.emnlp-main.54.pdf,emnlp,2025
55,SEA: Supervised Embedding Alignment for Token-Level Visual-Textual Integration in MLLMs,https://aclanthology.org/2025.emnlp-main.55.pdf,emnlp,2025
56,Molecular String Representation Preferences in Pretrained LLMs: A Comparative Study in Zero- & Few-Shot Molecular Property Prediction,https://aclanthology.org/2025.emnlp-main.56.pdf,emnlp,2025
57,Weight-Aware Activation Sparsity with Constrained Bayesian Optimization Scheduling for Large Language Models,https://aclanthology.org/2025.emnlp-main.57.pdf,emnlp,2025
58,DatawiseAgent: A Notebook-Centric LLM Agent Framework for Adaptive and Robust Data Science Automation,https://aclanthology.org/2025.emnlp-main.58.pdf,emnlp,2025
59,VC4VG: Optimizing Video Captions for Text-to-Video Generation,https://aclanthology.org/2025.emnlp-main.59.pdf,emnlp,2025
60,LaMP-QA: A Benchmark for Personalized Long-form Question Answering,https://aclanthology.org/2025.emnlp-main.60.pdf,emnlp,2025
61,The LLM Already Knows: Estimating LLM-Perceived Question Difficulty via Hidden Representations,https://aclanthology.org/2025.emnlp-main.61.pdf,emnlp,2025
62,MCIP: Protecting MCP Safety via Model Contextual Integrity Protocol,https://aclanthology.org/2025.emnlp-main.62.pdf,emnlp,2025
63,SAKI-RAG: Mitigating Context Fragmentation in Long-Document RAG via Sentence-level Attention Knowledge Integration,https://aclanthology.org/2025.emnlp-main.63.pdf,emnlp,2025
64,Skeletons Matter: Dynamic Data Augmentation for Text-to-Query,https://aclanthology.org/2025.emnlp-main.64.pdf,emnlp,2025
65,CondenseLM: LLMs-driven Text Dataset Condensation via Reward Matching,https://aclanthology.org/2025.emnlp-main.65.pdf,emnlp,2025
66,MovieCORE: COgnitive REasoning in Movies,https://aclanthology.org/2025.emnlp-main.66.pdf,emnlp,2025
67,"Think Wider, Detect Sharper: Reinforced Reference Coverage for Document-Level Self-Contradiction Detection",https://aclanthology.org/2025.emnlp-main.67.pdf,emnlp,2025
68,DRISHTIKON: A Multimodal Multilingual Benchmark for Testing Language Models’ Understanding on Indian Culture,https://aclanthology.org/2025.emnlp-main.68.pdf,emnlp,2025
69,LingGym: How Far Are LLMs from Thinking Like Field Linguists?,https://aclanthology.org/2025.emnlp-main.69.pdf,emnlp,2025
70,Learning from Few Samples: A Novel Approach for High-Quality Malcode Generation,https://aclanthology.org/2025.emnlp-main.70.pdf,emnlp,2025
71,Personality Matters: User Traits Predict LLM Preferences in Multi-Turn Collaborative Tasks,https://aclanthology.org/2025.emnlp-main.71.pdf,emnlp,2025
72,VisualWebInstruct: Scaling up Multimodal Instruction Data through Web Search,https://aclanthology.org/2025.emnlp-main.72.pdf,emnlp,2025
73,Thinking Out Loud: Do Reasoning Models Know When They’re Right?,https://aclanthology.org/2025.emnlp-main.73.pdf,emnlp,2025
74,"Seeing is Believing, but How Much? A Comprehensive Analysis of Verbalized Calibration in Vision-Language Models",https://aclanthology.org/2025.emnlp-main.74.pdf,emnlp,2025
75,Enhancing Efficiency and Exploration in Reinforcement Learning for LLMs,https://aclanthology.org/2025.emnlp-main.75.pdf,emnlp,2025
76,LLM Bias Detection and Mitigation through the Lens of Desired Distributions,https://aclanthology.org/2025.emnlp-main.76.pdf,emnlp,2025
77,MEBench: Benchmarking Large Language Models for Cross-Document Multi-Entity Question Answering,https://aclanthology.org/2025.emnlp-main.77.pdf,emnlp,2025
78,POSITION BIAS MITIGATES POSITION BIAS: Mitigate Position Bias Through Inter-Position Knowledge Distillation,https://aclanthology.org/2025.emnlp-main.78.pdf,emnlp,2025
79,MMLU-ProX: A Multilingual Benchmark for Advanced Large Language Model Evaluation,https://aclanthology.org/2025.emnlp-main.79.pdf,emnlp,2025
80,NL-Debugging: Exploiting Natural Language as an Intermediate Representation for Code Debugging,https://aclanthology.org/2025.emnlp-main.80.pdf,emnlp,2025
81,Persuasion Dynamics in LLMs: Investigating Robustness and Adaptability in Knowledge and Safety with DuET-PD,https://aclanthology.org/2025.emnlp-main.81.pdf,emnlp,2025
82,POINTS-Reader: Distillation-Free Adaptation of Vision-Language Models for Document Conversion,https://aclanthology.org/2025.emnlp-main.82.pdf,emnlp,2025
83,"Large Language Models for Automated Literature Review: An Evaluation of Reference Generation, Abstract Writing, and Review Composition",https://aclanthology.org/2025.emnlp-main.83.pdf,emnlp,2025
