,title,authors,paper_url
17,Direct Camera Calibration from Vanishing Points via Polynomial Solvers,['Norio Kosaka'],https://openaccess.thecvf.com/content/ICCV2025W/CALIPOSE/papers/Kosaka_Direct_Camera_Calibration_from_Vanishing_Points_via_Polynomial_Solvers_ICCVW_2025_paper.pdf
18,Sem-MASt3R: Semantically Guided Feature Matching with MASt3R,"['Dario Tenore', 'Daniel Barath', 'Marc Pollefeys', 'Qunjie Zhou']",https://openaccess.thecvf.com/content/ICCV2025W/CALIPOSE/papers/Tenore_Sem-MASt3R_Semantically_Guided_Feature_Matching_with_MASt3R_ICCVW_2025_paper.pdf
19,Optic Illusion Patterns for Accurate Camera Calibration,"['Gaku Nakano', 'Takenobu Kiyama']",https://openaccess.thecvf.com/content/ICCV2025W/CALIPOSE/papers/Nakano_Optic_Illusion_Patterns_for_Accurate_Camera_Calibration_ICCVW_2025_paper.pdf
20,Model Ensemble to Fuse Geometric and Learning Solutions for Camera Rotation Estimation,"['Bhuvan Aggarwal', 'Amit More', 'Mudit Soni', 'S Divakar Bhat']",https://openaccess.thecvf.com/content/ICCV2025W/CALIPOSE/papers/Aggarwal_Model_Ensemble_to_Fuse_Geometric_and_Learning_Solutions_for_Camera_ICCVW_2025_paper.pdf
21,Rotation Estimation of Multiple In-Vehicle Cameras from Dual FoV,"['Jun Sato', 'Fumihiko Sakaue', 'Shunya Kumano', 'Yusuke Ueda', 'Naoki Kawasaki']",https://openaccess.thecvf.com/content/ICCV2025W/CALIPOSE/papers/Sato_Rotation_Estimation_of_Multiple_In-Vehicle_Cameras_from_Dual_FoV_ICCVW_2025_paper.pdf
22,Benchmarking Feature Upsampling Methods for Vision Foundation Models using Interactive Segmentation,"['Volodymyr Havrylov', 'Haiwen Huang', 'Dan Zhang', 'Andreas Geiger']",https://openaccess.thecvf.com/content/ICCV2025W/ILR%2BG/papers/Havrylov_Benchmarking_Feature_Upsampling_Methods_for_Vision_Foundation_Models_using_Interactive_ICCVW_2025_paper.pdf
23,Motion-Refined DINOSAUR for Unsupervised Multi-Object Discovery,"['Xinrui Gong', 'Oliver Hahn', 'Christoph Reich', 'Krishnakant Singh', 'Simone Schaub-Meyer', 'Daniel Cremers', 'Stefan Roth']",https://openaccess.thecvf.com/content/ICCV2025W/ILR%2BG/papers/Gong_Motion-Refined_DINOSAUR_for_Unsupervised_Multi-Object_Discovery_ICCVW_2025_paper.pdf
24,From Global to Local: Social Bias Transfer in CLIP,"['Ryan Ramos', 'Yusuke Hirota', 'Yuta Nakashima', 'Noa Garcia']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Ramos_From_Global_to_Local_Social_Bias_Transfer_in_CLIP_ICCVW_2025_paper.pdf
25,Extracting Uncertainty Estimates from Mixtures of Experts for Semantic Segmentation,"['Svetlana Pavlitska', 'Beyza Keskin', 'Alwin Faßbender', 'Christian Hubschneider', 'J. Marius Zöllner']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Pavlitska_Extracting_Uncertainty_Estimates_from_Mixtures_of_Experts_for_Semantic_Segmentation_ICCVW_2025_paper.pdf
26,Explain with Confidence: Fusing Saliency Maps for Faithful and Interpretable Weakly-Supervised Model,"['Ayush Somani', 'Arif Ahmed Sekh', 'Dilip K. Prasad']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Somani_Explain_with_Confidence_Fusing_Saliency_Maps_for_Faithful_and_Interpretable_ICCVW_2025_paper.pdf
