,title,conference,year,paper_url
51,Reasoning Elicitation in Language Models via Counterfactual Feedback,icml,2025,https://openreview.net/pdf?id=VVixJ9QavY
52,CAX: Cellular Automata Accelerated in JAX,icml,2025,https://openreview.net/pdf?id=o2Igqm95SJ
53,Proteina: Scaling Flow-based Protein Structure Generative Models,icml,2025,https://openreview.net/pdf?id=TVQLu34bdw
54,Residual Deep Gaussian Processes on Manifolds,icml,2025,https://openreview.net/pdf?id=JWtrk7mprJ
55,Learning to Discretize Denoising Diffusion ODEs,icml,2025,https://openreview.net/pdf?id=xDrFWUmCne
56,Toward Guidance-Free AR Visual Generation via Condition Contrastive Alignment,icml,2025,https://openreview.net/pdf?id=kGvXIlIVLM
57,TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis,icml,2025,https://openreview.net/pdf?id=1CLzLXSFNn
58,RMP-SAM: Towards Real-Time Multi-Purpose Segment Anything,icml,2025,https://openreview.net/pdf?id=1pXzC30ry5
59,Steering Protein Family Design through Profile Bayesian Flow,icml,2025,https://openreview.net/pdf?id=PSiijdQjNU
60,GeSubNet: Gene Interaction Inference for Disease Subtype Network Generation,icml,2025,https://openreview.net/pdf?id=ja4rpheN2n
61,Exploring The Loss Landscape Of Regularized Neural Networks Via Convex Duality,icml,2025,https://openreview.net/pdf?id=4xWQS2z77v
62,Global Convergence in Neural ODEs: Impact of Activation Functions,icml,2025,https://openreview.net/pdf?id=AoraWUmpLU
63,MoDeGPT: Modular Decomposition for Large Language Model Compression,icml,2025,https://openreview.net/pdf?id=8EfxjTCg2k
64,MIND over Body: Adaptive Thinking using Dynamic Computation,icml,2025,https://openreview.net/pdf?id=EjJGND0m1x
65,From Exploration to Mastery: Enabling LLMs to Master Tools via Self-Driven Interactions,icml,2025,https://openreview.net/pdf?id=QKBu1BOAwd
66,LoRA Done RITE: Robust Invariant Transformation Equilibration for LoRA Optimization,icml,2025,https://openreview.net/pdf?id=VpWki1v2P8
67,Scaling and evaluating sparse autoencoders,icml,2025,https://openreview.net/pdf?id=tcsZt9ZNKD
68,ReGenesis: LLMs can Grow into Reasoning Generalists via Self-Improvement,icml,2025,https://openreview.net/pdf?id=YUYJsHOf3c
69,Feedback Favors the Generalization of Neural ODEs,icml,2025,https://openreview.net/pdf?id=cmfyMV45XO
70,Do LLMs Recognize Your Preferences? Evaluating Personalized Preference Following in LLMs,icml,2025,https://openreview.net/pdf?id=QWunLKbBGF
71,STAR: Synthesis of Tailored Architectures,icml,2025,https://openreview.net/pdf?id=HsHxSN23rM
72,Do I Know This Entity? Knowledge Awareness and Hallucinations in Language Models,icml,2025,https://openreview.net/pdf?id=WCRQFlji2q
73,Geometry of Neural Reinforcement Learning in Continuous State and Action Spaces,icml,2025,https://openreview.net/pdf?id=AP0ndQloqR
74,When is Task Vector Provably Effective for Model Editing? A Generalization Analysis of Nonlinear Transformers,icml,2025,https://openreview.net/pdf?id=vRvVVb0NAz
75,Learning and aligning single-neuron invariance manifolds in visual cortex,icml,2025,https://openreview.net/pdf?id=kbjJ9ZOakb
76,Feedback Schrödinger Bridge Matching,icml,2025,https://openreview.net/pdf?id=k3tbMMW8rH
77,TetSphere Splatting: Representing High-Quality Geometry with Lagrangian Volumetric Meshes,icml,2025,https://openreview.net/pdf?id=8enWnd6Gp3
78,Navigating the Digital World as Humans Do: Universal Visual Grounding for GUI Agents,icml,2025,https://openreview.net/pdf?id=kxnoqaisCT
79,Progressive distillation induces an implicit curriculum,icml,2025,https://openreview.net/pdf?id=wPMRwmytZe
