,title,conference,year,paper_url
45,Modality-Fair Preference Optimization for Trustworthy MLLM Alignment,ijcai,2025,https://www.ijcai.org/proceedings/2025/0046.pdf
46,Counterfactual Strategies for Markov Decision Processes,ijcai,2025,https://www.ijcai.org/proceedings/2025/0047.pdf
47,Enhancing Sampling Protocol for Point Cloud Classification Against Corruptions,ijcai,2025,https://www.ijcai.org/proceedings/2025/0048.pdf
48,Priority Guided Explanation for Knowledge Tracing with Dual Ranking and Similarity Consistency,ijcai,2025,https://www.ijcai.org/proceedings/2025/0049.pdf
49,FADE: Towards Fairness-aware Data Generation for Domain Generalization via Classifier-Guided Score-based Diffusion Models,ijcai,2025,https://www.ijcai.org/proceedings/2025/0050.pdf
50,Neuron Similarity-Based Neural Network Verification via Abstraction and Refinement,ijcai,2025,https://www.ijcai.org/proceedings/2025/0051.pdf
51,VeRecycle: Reclaiming Guarantees from Probabilistic Certificates for Stochastic Dynamical Systems after Change,ijcai,2025,https://www.ijcai.org/proceedings/2025/0052.pdf
52,Towards Safer Pretraining: Analyzing and Filtering Harmful Content in Webscale Datasets for Responsible LLMs,ijcai,2025,https://www.ijcai.org/proceedings/2025/0053.pdf
53,Fast Explanations via Policy Gradient-Optimized Explainer,ijcai,2025,https://www.ijcai.org/proceedings/2025/0054.pdf
54,CABIN: Debiasing Vision-Language Models Using Backdoor Adjustments,ijcai,2025,https://www.ijcai.org/proceedings/2025/0055.pdf
55,Feint and Attack: Jailbreaking and Protecting LLMs via Attention Distribution Modeling,ijcai,2025,https://www.ijcai.org/proceedings/2025/0056.pdf
56,SAP: Privacy-Preserving Fine-Tuning on Language Models with Split-and-Privatize Framework,ijcai,2025,https://www.ijcai.org/proceedings/2025/0057.pdf
57,ASCENT-ViT: Attention-based Scale-aware Concept Learning Framework for Enhanced Alignment in Vision Transformers,ijcai,2025,https://www.ijcai.org/proceedings/2025/0058.pdf
58,Unlocking the Potential of Lightweight Quantized Models for Deepfake Detection,ijcai,2025,https://www.ijcai.org/proceedings/2025/0059.pdf
59,MVP-CBM: Multi-layer Visual Preference-enhanced Concept Bottleneck Model for Explainable Medical Image Classification,ijcai,2025,https://www.ijcai.org/proceedings/2025/0060.pdf
60,Indirect Online Preference Optimization via Reinforcement Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0061.pdf
61,AdvGrasp: Adversarial Attacks on Robotic Grasping from a Physical Perspective,ijcai,2025,https://www.ijcai.org/proceedings/2025/0062.pdf
62,fairGNN-WOD: Fair Graph Learning Without Complete Demographics,ijcai,2025,https://www.ijcai.org/proceedings/2025/0063.pdf
63,Towards Fairness with Limited Demographics via Disentangled Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0064.pdf
64,Weakly-supervised Audio Temporal Forgery Localization via Progressive Audio-language Co-learning Network,ijcai,2025,https://www.ijcai.org/proceedings/2025/0065.pdf
65,Explainable Graph Neural Networks via Structural Externalities,ijcai,2025,https://www.ijcai.org/proceedings/2025/0066.pdf
66,Parameterized Approximation Algorithm for Doubly Constrained Fair Clustering,ijcai,2025,https://www.ijcai.org/proceedings/2025/0067.pdf
67,Fine-grained Prompt Screening: Defending Against Backdoor Attack on Text-to-Image Diffusion Models,ijcai,2025,https://www.ijcai.org/proceedings/2025/0068.pdf
68,FairSMOE: Mitigating Multi-Attribute Fairness Problem with Sparse Mixture-of-Experts,ijcai,2025,https://www.ijcai.org/proceedings/2025/0069.pdf
69,GraphProt: Certified Black-Box Shielding Against Backdoored Graph Models,ijcai,2025,https://www.ijcai.org/proceedings/2025/0070.pdf
70,Rethinking Removal Attack and Fingerprinting Defense for Model Intellectual Property Protection: A Frequency Perspective,ijcai,2025,https://www.ijcai.org/proceedings/2025/0071.pdf
71,Causality-Inspired Disentanglement for Fair Graph Neural Networks,ijcai,2025,https://www.ijcai.org/proceedings/2025/0072.pdf
72,DFCA: Disentangled Feature Contrastive Learning and Augmentation for Fairer Dermatological Diagnostics,ijcai,2025,https://www.ijcai.org/proceedings/2025/0073.pdf
73,Why the Agent Made that Decision: Contrastive Explanation Learning for Reinforcement Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0074.pdf
74,Keypoints as Dynamic Centroids for Unified Human Pose and Segmentation,ijcai,2025,https://www.ijcai.org/proceedings/2025/0075.pdf
75,Top-I2P: Explore Open-Domain Image-to-Point Cloud Registration Using Topology Relationship,ijcai,2025,https://www.ijcai.org/proceedings/2025/0076.pdf
